session,symbol,bars,open,high,low,close,high_time_et,low_time_et,open_to_close_pct,mfe_long_from_open_pct,mae_long_from_open_pct,mfe_short_from_open_pct,mae_short_from_open_pct,close_location_in_range,pct_bars_close_above_open,pct_bars_close_above_vwap,closing_vwap,closing_ema9,closing_ema20,pattern_auto,prior_close,opening_gap_pct,close_to_close_pct,gap_retention_ratio
2026-09-18,AAPL,390,337.99,338.49,332.53,335.59,2026-09-18 09:32:00-04:00,2026-09-18 10:43:00-04:00,-0.71,0.148,-1.615,1.615,0.148,0.513,0.003,0.262,335.7169,336.0603,336.1167,Reversal/Mixed,337.0,0.294,-0.418,-1.424
2026-09-18,AMD,390,547.56,559.91,541.54,559.8,2026-09-18 15:57:00-04:00,2026-09-18 11:01:00-04:00,2.235,2.255,-1.099,1.099,2.255,0.994,0.177,0.208,548.2717,556.2118,552.8078,Trend Up,545.09,0.453,2.699,5.956
2026-09-18,AMZN,390,252.86,255.43,251.88,253.51,2026-09-18 11:07:00-04:00,2026-09-18 10:15:00-04:00,0.257,1.016,-0.388,0.388,1.016,0.459,0.813,0.677,253.2791,253.9026,254.0722,Range Day,251.19,0.665,0.924,1.389
2026-09-18,ARM,387,269.63,275.78,261.655,275.75,2026-09-18 15:59:00-04:00,2026-09-18 09:35:00-04:00,2.27,2.281,-2.958,2.958,2.281,0.998,0.041,0.718,268.9871,274.088,272.4759,Trend Up,243.98,10.513,13.022,1.239
2026-09-18,AVGO,390,352.08,363.2817,351.35,357.69,2026-09-18 09:53:00-04:00,2026-09-18 09:30:00-04:00,1.593,3.182,-0.207,0.207,3.182,0.531,1.0,0.246,356.925,357.1444,356.711,Reversal/Mixed,347.3,1.376,2.992,2.174
2026-09-18,BE,390,284.32,285.1,265.0,265.61,2026-09-18 09:30:00-04:00,2026-09-18 15:49:00-04:00,-6.581,0.274,-6.795,6.795,0.274,0.03,0.0,0.162,271.4088,266.5667,267.6817,Trend Down,270.02,5.296,-1.633,-0.308
2026-09-18,COHR,390,305.73,318.45,302.11,317.21,2026-09-18 15:55:00-04:00,2026-09-18 09:30:00-04:00,3.755,4.161,-1.184,1.184,4.161,0.924,0.949,0.741,310.3136,317.3717,316.8018,Trend Up,295.98,3.294,7.173,2.177
2026-09-18,COIN,390,178.155,196.21,177.67,194.275,2026-09-18 13:59:00-04:00,2026-09-18 09:30:00-04:00,9.048,10.134,-0.272,0.272,10.134,0.896,1.0,1.0,190.6338,193.917,193.9877,Trend Up,164.51,8.294,18.093,2.181
2026-09-18,CRWD,390,247.41,247.5025,234.9,237.62,2026-09-18 09:30:00-04:00,2026-09-18 10:16:00-04:00,-3.957,0.037,-5.056,5.056,0.037,0.216,0.0,0.105,239.391,237.7337,238.0027,Trend Down,241.36,2.507,-1.55,-0.618
2026-09-18,DELL,390,593.15,595.51,568.36,568.53,2026-09-18 09:30:00-04:00,2026-09-18 15:59:00-04:00,-4.151,0.398,-4.179,4.179,0.398,0.006,0.0,0.005,579.5688,571.4056,571.8648,Trend Down,563.29,5.301,0.93,0.175
2026-09-18,DIA,390,516.52,517.08,514.15,515.86,2026-09-18 09:32:00-04:00,2026-09-18 12:25:00-04:00,-0.128,0.108,-0.459,0.459,0.108,0.584,0.013,0.333,515.4892,516.0588,516.1301,Range Day,518.35,-0.353,-0.48,1.361
2026-09-18,FLNC,390,7.535,7.64,7.11,7.305,2026-09-18 09:30:00-04:00,2026-09-18 11:32:00-04:00,-3.052,1.393,-5.64,5.64,1.393,0.368,0.003,0.292,7.2806,7.3279,7.3332,Reversal/Mixed,9.05,-16.74,-19.282,1.152
2026-09-18,GNRC,385,209.52,214.85,201.5801,207.62,2026-09-18 09:31:00-04:00,2026-09-18 11:47:00-04:00,-0.907,2.544,-3.79,3.79,2.544,0.455,0.013,0.086,205.9773,207.9126,207.4897,Reversal/Mixed,207.23,1.105,0.188,0.17
2026-09-18,GOOGL,390,356.92,359.44,348.45,349.06,2026-09-18 09:41:00-04:00,2026-09-18 15:56:00-04:00,-2.202,0.706,-2.373,2.373,0.706,0.056,0.028,0.026,353.1379,349.4088,350.0947,Trend Down,347.33,2.761,0.498,0.18
2026-09-18,HOOD,390,113.52,120.5699,111.06,119.83,2026-09-18 13:58:00-04:00,2026-09-18 09:35:00-04:00,5.558,6.21,-2.167,2.167,6.21,0.922,0.956,0.959,117.387,119.6199,119.4721,Trend Up,104.42,8.715,14.758,1.693
2026-09-18,INTC,390,109.84,110.49,106.4,108.62,2026-09-18 09:30:00-04:00,2026-09-18 14:42:00-04:00,-1.111,0.592,-3.132,3.132,0.592,0.543,0.005,0.077,108.1431,108.4961,108.3854,Reversal/Mixed,108.8,0.956,-0.165,-0.173
